Unnamed: 0,Unnamed: 1,Date,2025-10-31 00:00:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
S0625,Southern Comfort,70cl,19.7,13.75,2,0.8,38.5,,,,,
S0010,Talisker 10 YR,70cl,19.7,53.03,2,,106.06,,,,,
S0638,Tanquery 70cl,70cl,19.7,22.83,1,0.4,31.962,,,,,
,Tanquery 70cl 0.0%,,,15,4,,,,,,,
S0630,Teachers 70Cl,70cl,19.7,17.17,,0.05,0.8585,,,,,
S2159,Tequila Bianca,70cl,19.7,17.67,,,0,,,,,
S0012,Tequila J.C Gold,70cl,19.7,18.17,1,,18.17,,,,,
S0635,Tequila Olmeca Gold,70cl,19.7,20.2,6,0.95,140.39,,,,,
S1022,Tequila Rose,70cl,19.7,15.75,,,0,,,,,
S0640,Tia Maria 70Cl,70cl,19.7,15.33,6,0.5,99.645,,,,,
S0653,Tio Pepe,70cl,9.9,13.81,2,0.95,40.7395,,,,,
S3147,Tito s Vodka,70cl,19.7,22.5,7,0.15,160.875,,,,,
S0647,Tullamore Dew 70cl,70cl,19.7,22.57,3,,67.71,,,,,
S0023,Volare Butterscotch,70cl,19.7,12.92,1.9,,24.548,,,,,
S0028,Volare Limoncello 700ML,70cl,19.7,17.89,2,,35.78,,,,,
S0017,Volare Passionfruit 700ML,Ind,1,13.89,1,0.1,15.279,,,,,
S0005,Volare Triple sec,70cl,19.7,13.4,2,,26.8,,,,,
S2378,West Cork Irish Whiskey,70cl,19.7,24.58,1,0.9,46.702,,,,,
S0071,Winters Tale 75cl,75cl,10.7,12.42,,0.8,9.936,,,,,
S1411,Yellow Spot,70cl,19.7,61.04,1.8,0.85,161.756,,,,,
,Sea Dog Rum,,,17.13,,0.8,13.704,,,,,
,Dingle Whiskey,,,37.5,2,,75,,,,,
,Total for    Spirits,,,,,Spirits,10406.3525,,,,,
Code,Description,Size,UOM,Cost Price,Closing Stock - Cases,Closing Stock - Bottles,Stock at Cost,,,,,
M2236,Appletisier Apple,Doz,12,12.95,,,0,,,,,
M0195,Baby SCH Mims,Doz,12,5.13,,,0,,,,,
M0140,Cordials  Miwadi,Doz,12,17,,90,127.5,,,,,
M2107,Fevertree Tonics,Doz,12,12.52,,103,107.463333333333,,,,,
M0320,Grenadine Syrup,70cl,19.7,6.16,7.6,0.55,46.9879796954315,,,,,
M11,Kulana Litre Juices,Ind,1,1,,138,138,,,,,
M0042,Lemonade Red Nashs,Doz,12,12.15,,43,43.5375,,,,,
M0210,Lemonade WhiteNashes,Doz,12,13.05,,43,46.7625,,,,,
M0008,Mixer Lemon Juice 700ML,Ind,1,5.88,,,0,,,,,
M0009,Mixer Lime Juice 700ML,Ind,1,5.88,,,0,,,,,
M3,Monin Agave Syrup 700ml,Ind,1,9.98,3.3,,32.934,,,,,
M0006,Monin Chocolate Cookie LTR,Ind,1,9.33,3,,27.99,,,,,
M13,Monin Coconut Syrup 700ML,Ind,1,9.15,0.4,,3.66,,,,,
M04,Monin Elderflower Syrup 700M ,Ind,1,10.38,2.4,,24.912,,,,,
M0014,Monin Ginger Syrup                  ,Ind,1,10.25,10.7,,109.675,,,,,
M2,Monin Passionfruit Puree Ltr     ,Ind,1,15.37,11.4,,175.218,,,,,
M03,Monin Passionfruit Syrup 700M70cl,Ind,19.7,9.15,14,,128.1,,,,,
M05,Monin Pink Grapefruit 700ML  ,Ind,1,10.25,7.3,,74.825,,,,,
M06,Monin Puree Coconut LTR        ,Ind,1,14.64,17,,248.88,,,,,
M1,Monin Strawberry Puree Ltr       ,Ind,1,12.13,6.5,,78.845,,,,,
M01,Monin Strawberry Syrup 700ml ,Ind,1,10.31,3,,30.93,,,,,
M5,Monin Strawberry Syrup Ltr       ,Ind,1,10.31,2.5,,25.775,,,,,
M9,Monin Vanilla Syrup Ltr             ,Ind,1,8.83,3,,26.49,,,,,
M02,Monin Watermelon Syrup 700M,Ind,1,8.95,6,,53.7,,,,,
M0170,Red Bull Cans                             ,Doz,12,11.13,,6,5.565,,,,,
